sha256,label,parse_ok,file_size,page_count,metadata_field_count,suspicious_keyword_total,is_encrypted,javascript_count,has_javascript,js_count,has_js,openaction_count,has_openaction,aa_count,has_aa,launch_count,has_launch,uri_count,has_uri,embeddedfile_count,has_embeddedfile,encrypt_count,has_encrypt,objstm_count,has_objstm,richmedia_count,has_richmedia,acroform_count,has_acroform,action_keyword_total,embedded_or_script_total,stream_like_keyword_total,high_risk_keyword_total,keyword_density_per_page
f5a4b7f866e1f2a388e3a80e7f64e147cc79735aab8e078dccda4a6951edaceb,benign,1,122538,7,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.14285714285714285
70b4041915ebd45fda85ae34e7bd8d307b5055021f2a0e73e7b793d6579af1f1,benign,1,278495,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8b55ba05fb9384055169039d1c701b7804afe3f1987f49ec035a7ef828eab56d,benign,1,16851,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
d0dfb67f0426f15e72b2039d7eea28c1212de53b0a454cb0fbfb35e52b33b569,benign,1,11576,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6d26004832393b28fbd43baaf1dd2a6fa5347de778308634509b005adf11d0ad,benign,1,24051,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9a8014312730bcf3c3091de12a149f7c76c16b4c01ff5f4aaaa46f0602478dc1,benign,1,20638,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
059f49cae66ca9d11cfd57456205e72046d058d5ee553e16be87c80ba0f582f7,benign,1,25817,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
dd20bcfc38b00f7dec569a618302e82534b43fccc0deda1890740af8bfc9d4c5,benign,1,71424,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
07ea6a6832c35bb93252d5593225d2767b6cb5b189c3f171d51f46edc98b6226,benign,1,24996,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3b913e70aa835cc27054c5375846f7ab0a6827bfadfbeab3de33c8a35af539df,benign,1,48050,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
c93a1545d5694e7f412161bbd3c2e3079b007e10bbb1958dc94b2bc13b5e0617,benign,1,280843,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ee09b8d4a1490e4f766d3a69a48cbab883dbad88ec2997f399047f333a827e5a,benign,1,19893,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
f4d7486ab4f18500efcfebea7613643a56d52be87507fe41e2a3758362f826e4,benign,1,11493,1,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0
